"roi_num","hemi","network","subregion"
431,L,Vis,Cerebellum
432,L,SomMot,Cerebellum
433,L,DorsAttn,Cerebellum
434,L,SalVentAttn,Cerebellum
435,L,Limbic,Cerebellum
436,L,Cont,Cerebellum
437,L,Default,Cerebellum
438,R,Vis,Cerebellum
439,R,SomMot,Cerebellum
440,R,DorsAttn,Cerebellum
441,R,SalVentAttn,Cerebellum
442,R,Limbic,Cerebellum
443,R,Cont,Cerebellum
444,R,Default,Cerebellum

# The current working directory is: /proj/mnhallqlab/lab_resources/parcellation/schaefer_wb_parcellation
# You are logged in as: mnhallq
