"roi_num","hemi","network","subregion"
83,"L","Default","PFC1"
84,"L","Default","PFC2"
85,"L","Default","PFC3"
86,"L","Default","PFC4"
87,"L","Default","PFC5"
88,"L","Default","PFC6"
89,"L","Default","PFC7"
90,"L","Default","PFC8"
91,"L","Default","PFC9"
92,"L","Default","PFC10"
93,"L","Default","PFC11"
94,"L","Default","PFC12"
95,"L","Default","PFC13"
96,"L","Default","PCC1"
97,"L","Default","PCC2"
98,"L","Default","PCC3"
99,"L","Default","PCC4"
100,"L","Default","PHC1"
101,"R","Vis","1"
102,"R","Vis","2"
103,"R","Vis","3"
104,"R","Vis","4"
105,"R","Vis","5"
106,"R","Vis","6"
107,"R","Vis","7"
108,"R","Vis","8"
109,"R","Vis","9"
110,"R","Vis","10"
111,"R","Vis","11"
112,"R","Vis","12"
113,"R","Vis","13"
114,"R","Vis","14"
115,"R","Vis","15"
116,"R","SomMot","1"
117,"R","SomMot","2"
118,"R","SomMot","3"
119,"R","SomMot","4"
120,"R","SomMot","5"
121,"R","SomMot","6"
122,"R","SomMot","7"
123,"R","SomMot","8"
124,"R","SomMot","9"
125,"R","SomMot","10"
126,"R","SomMot","11"
127,"R","SomMot","12"
128,"R","SomMot","13"
129,"R","SomMot","14"
130,"R","SomMot","15"
131,"R","SomMot","16"
132,"R","SomMot","17"
133,"R","SomMot","18"
134,"R","SomMot","19"
135,"R","DorsAttn","Post1"
136,"R","DorsAttn","Post2"
137,"R","DorsAttn","Post3"
138,"R","DorsAttn","Post4"
139,"R","DorsAttn","Post5"
140,"R","DorsAttn","Post6"
141,"R","DorsAttn","Post7"
142,"R","DorsAttn","Post8"
143,"R","DorsAttn","Post9"
144,"R","DorsAttn","Post10"
145,"R","DorsAttn","FEF1"
146,"R","DorsAttn","FEF2"
147,"R","DorsAttn","PrCv1"
148,"R","SalVentAttn","TempOccPar1"
149,"R","SalVentAttn","TempOccPar2"
150,"R","SalVentAttn","TempOccPar3"
151,"R","SalVentAttn","PrC1"
152,"R","SalVentAttn","FrOper1"
153,"R","SalVentAttn","FrOper2"
154,"R","SalVentAttn","FrOper3"
155,"R","SalVentAttn","FrOper4"
156,"R","SalVentAttn","Med1"
157,"R","SalVentAttn","Med2"
158,"R","SalVentAttn","Med3"
159,"R","Limbic","OFC1"
160,"R","Limbic","OFC2"
161,"R","Limbic","OFC3"
162,"R","Limbic","TempPole1"
163,"R","Limbic","TempPole2"
164,"R","Limbic","TempPole3"
165,"R","Cont","Par1"
166,"R","Cont","Par2"
167,"R","Cont","Par3"
168,"R","Cont","Temp1"
169,"R","Cont","PFCv1"
170,"R","Cont","PFCl1"
171,"R","Cont","PFCl2"
172,"R","Cont","PFCl3"
173,"R","Cont","PFCl4"
174,"R","Cont","PFCl5"
175,"R","Cont","PFCl6"
176,"R","Cont","PFCl7"
177,"R","Cont","pCun1"
178,"R","Cont","PFCmp1"
179,"R","Cont","PFCmp2"
180,"R","Cont","PFCmp3"
181,"R","Cont","PFCmp4"
182,"R","Default","Par1"
183,"R","Default","Par2"
184,"R","Default","Par3"
185,"R","Default","Temp1"
186,"R","Default","Temp2"
187,"R","Default","Temp3"
188,"R","Default","Temp4"
189,"R","Default","Temp5"
190,"R","Default","PFCv1"
191,"R","Default","PFCm1"
192,"R","Default","PFCm2"
193,"R","Default","PFCm3"
194,"R","Default","PFCm4"
195,"R","Default","PFCm5"
196,"R","Default","PFCm6"
197,"R","Default","PFCm7"
198,"R","Default","PCC1"
199,"R","Default","PCC2"
200,"R","Default","PCC3"
